t,x,y,status,evt
1,0,0,True,0
2,0,0,True,0
3,0,0,True,0
4,0,0,True,0
5,0,0,True,0
6,0,0,True,0
7,0,0,True,0
8,0,0,True,0
9,0,0,True,0
10,0,0,True,0
11,0,0,True,0
12,0,0,True,0
13,0,0,True,0
14,0,0,True,4
15,0,0,True,4
16,0,0,True,5
17,0,0,True,5
18,0,0,True,5
19,0,0,True,5
20,0,0,True,5
21,0,0,True,5
22,0,0,True,5
23,0,0,True,5
24,0,0,True,5
25,0,0,True,0
26,0,0,True,3
27,0,0,True,3
28,0,0,True,2
29,0,0,True,2
30,0,0,True,2
31,0,0,True,2
32,0,0,True,2
33,0,0,True,2
34,0,0,True,2
35,0,0,True,2
36,0,0,True,2
37,0,0,True,2
38,0,0,True,2
39,0,0,True,2
40,0,0,True,2
41,0,0,True,2
42,0,0,True,2
43,0,0,True,2
44,0,0,True,2
45,0,0,True,2
46,0,0,True,2
47,0,0,True,2
48,0,0,True,2
49,0,0,True,0
50,0,0,True,0
51,0,0,True,0
52,0,0,True,4
53,0,0,True,4
54,0,0,True,4
55,0,0,True,4
56,0,0,True,0
57,0,0,True,0
58,0,0,True,0
59,0,0,True,0
60,0,0,True,0
61,0,0,True,0
62,0,0,True,4
63,0,0,True,4
64,0,0,True,0
65,0,0,True,0
66,0,0,True,0
67,0,0,True,4
68,0,0,True,5
69,0,0,True,5
70,0,0,True,0
71,0,0,True,5
72,0,0,True,5
73,0,0,True,5
74,0,0,True,5
75,0,0,True,5
76,0,0,True,0
77,0,0,True,0
78,0,0,True,0
79,0,0,True,1
80,0,0,True,1
81,0,0,True,1
82,0,0,True,1
83,0,0,True,1
84,0,0,True,1
85,0,0,True,1
86,0,0,True,1
87,0,0,True,1
88,0,0,True,1
89,0,0,True,1
90,0,0,True,1
91,0,0,True,1
92,0,0,True,1
93,0,0,True,1
94,0,0,True,1
95,0,0,True,1
96,0,0,True,1
97,0,0,True,0
98,0,0,True,5
99,0,0,True,5
100,0,0,True,5
101,0,0,True,5
102,0,0,True,5
103,0,0,True,0
104,0,0,True,4
105,0,0,True,4
106,0,0,True,4
107,0,0,True,0
