t,x,y,status,evt
1,0,0,True,1
2,0,0,True,1
3,0,0,True,1
4,0,0,True,255
5,0,0,True,2
6,0,0,True,2
7,0,0,True,2
8,0,0,True,255
9,0,0,True,1
10,0,0,True,1
11,0,0,True,1
12,0,0,True,255
13,0,0,True,1
14,0,0,True,1
15,0,0,True,1
16,0,0,True,2
17,0,0,True,2
18,0,0,True,1
19,0,0,True,1
20,0,0,True,1
21,0,0,True,1
22,0,0,True,1
23,0,0,True,4
24,0,0,True,4
25,0,0,True,4
26,0,0,True,4
27,0,0,True,4
28,0,0,True,4
29,0,0,True,4
30,0,0,True,4
31,0,0,True,4
32,0,0,True,4
33,0,0,True,4
34,0,0,True,4
35,0,0,True,4
36,0,0,True,1
37,0,0,True,1
38,0,0,True,1
39,0,0,True,1
40,0,0,True,1
41,0,0,True,1
42,0,0,True,1
43,0,0,True,1
44,0,0,True,2
45,0,0,True,2
